Название организации;Город;Телефон;Ссылка на сайт;Соц. сети
Юрисконсульт; Иваново;+7 (915) 815-61-78;http://юрисконсульт.com/;[[' telegram', 'https://t.me/79158156178'], [' viber', 'https://viber.click/79158156178'], [' whatsapp', 'https://wa.me/79158156178']]
Юридическая Компания СВА; Одинцово;+7 (495) 789-47-89;http://sva789.ru/;[[' telegram', 'https://t.me/https://t.me/UKSVA789'], [' vkontakte', 'https://vk.com/sva789ru']]
Адвокат Гаспарян С. Э.; Егорьевск;+7 (917) 550-00-24;;[[' whatsapp', 'https://wa.me/79175500024']]
Бизнес-Юрист; Калуга;8 (800) 600-62-53;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юнова; Самара;+7 (846) 219-22-18;http://yunova.ru/;[]
Юридическая Компания Вердикт; Москва;+7 (903) 131-18-66;;[[' telegram', 'https://t.me/STRANNIK_SV'], [' whatsapp', 'https://wa.me/79031311866']]
Толковый юрист; Киров;+7 (8332) 73-00-07;https://urkirov.ru/;[[' vkontakte', 'http://vk.com/club5101136'], [' ok', 'https://ok.ru/yuristkirov'], [' viber', 'https://viber.click/79229930007'], [' whatsapp', 'https://wa.me/79229930007'], [' youtube', 'https://www.youtube.com/channel/UC8kcOx5iT1nUZ3QY0C063ww']]
Бизнес-Юрист; Набережные Челны;8 (800) 700-34-03;https://b-urist.ru/?utm_source=map;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Региональный правовой центр; Тольятти;+7 (987) 974-80-50;https://tlt-pravo.ru/;[[' telegram', 'https://t.me/Dmitry_Spitsa'], [' vkontakte', 'https://vk.com/tlt_pravo'], [' whatsapp', 'https://wa.me/79372112770']]
Юридический кабинет Михаила Джикия; Волгоград;+7 (917) 649-14-87;https://vk.link/kabinetDzhickia;[[' telegram', 'https://t.me/MikhailDzhickiya'], [' viber', 'https://viber.click/79176491487'], [' whatsapp', 'https://wa.me/79176491487']]
Международное юридическое бюро; Ижевск;8 (800) 770-74-73;https://ilo-co.com/;[]
Право и Закон; Волгодонск;+7 (900) 135-03-33;http://www.urist61.ru/;[[' telegram', 'https://t.me/7900135033'], [' vkontakte', 'https://vk.com/club211129380'], [' whatsapp', 'https://wa.me/79001350333']]
Центр профессиональной юридической помощи; Тверь;+7 (952) 065-46-15;http://centrproff.ru/;[[' vkontakte', 'http://vk.com/public188596479'], [' telegram', 'https://t.me/Proffbk2022'], [' viber', 'https://viber.click/79040248252'], [' whatsapp', 'https://wa.me/79611410182']]
Деловой союз; Балашиха;+7 (495) 124-84-63;http://делсоюз.рф/;[[' vkontakte', 'https://vk.com/delsouz'], [' whatsapp', 'https://wa.me/79893009170'], [' youtube', 'https://www.youtube.com/watch?v=fMgFhSHyigo']]
Калачев & партнеры; Москва;+7 (499) 377-47-37;https://lawexpress.ru/;[[' whatsapp', 'https://wa.me/74993774737']]
Правовой центр Госправо; Москва;+7 (495) 008-83-18;https://sup-estate.ru/;[[' telegram', 'https://t.me/+79250448831'], [' vkontakte', 'https://vk.com/jurzaliv'], [' whatsapp', 'https://wa.me/79851378122'], [' youtube', 'https://www.youtube.com/@cexper']]
Юрист Тимур Батиралиев; Москва;+7 (916) 696-37-96;https://timur-batiraliev.pro/;[[' telegram', 'https://t.me/89166963796'], [' vkontakte', 'https://vk.com/timurbatiraliev'], [' whatsapp', 'https://wa.me/89166963796'], [' youtube', 'https://youtube.com/channel/UCk31OrPlOOpupvBYKX-BgAA']]
Центр юридической защиты; Нижний Новгород;+7 (831) 230-20-57;http://centeruse.ru/;[[' viber', 'https://viber.click/89202533866'], [' vkontakte', 'https://vk.com/centeruse'], [' whatsapp', 'https://wa.me/89202533866'], [' youtube', 'https://www.youtube.com/watch?t=145s&v=NuK5foalFe8']]
Группа ЛексПрактик; Пенза;+7 (8412) 77-11-55;https://lex911.ru/;[]
Legal way; Казань;+7 (917) 232-70-00;http://lwaybfl.tilda.ws/;[[' whatsapp', 'https://wa.me/79172327000']]
Правовой центр Юрист консалтинг; Троицк;+7 (499) 346-83-23;http://troitskpravo.ru/;[[' youtube', 'http://youtube.com/channel/UCv2seuDczhxuB2pvRuhnwjQ'], [' vkontakte', 'https://vk.com/advokat_yourist']]
Нечаев и Партнеры; Саратов;+7 (8452) 77-40-23;http://nechaev-partners.ru/;[[' viber', 'https://viber.click/79372252323'], [' vkontakte', 'https://vk.com/nechaevpartners'], [' whatsapp', 'https://wa.me/79372252323']]
Юридические услуги; Тамбов;+7 (905) 085-55-27;https://vk.link/yurist.tambov;[[' vkontakte', 'https://vk.com/yurist.tambov']]
Юридические услуги; Нижний Новгород;+7 (920) 060-04-15;;[]
Инфоюрсервис; Лобня;+7 (901) 147-55-86;http://www.infojurservice.ru/;[[' telegram', 'https://t.me/infojurservice'], [' vkontakte', 'https://vk.com/public123512193']]
Юрист для Людей; Самара;8 (800) 533-81-30;http://юристдлялюдей.рф/;[[' ok', 'https://ok.ru/urist.for.people'], [' telegram', 'https://t.me/uristforpeople'], [' vkontakte', 'https://vk.com/urist.for.people'], [' youtube', 'https://www.youtube.com/channel/UColvivF0Og4lapU8izWS4Aw']]
Юрист рядом; Москва;+7 (495) 773-44-43;http://urist-butovo.ru/;[[' telegram', 'https://t.me/79031396395'], [' viber', 'https://viber.click/79031396395'], [' whatsapp', 'https://wa.me/79031396395'], [' youtube', 'https://www.youtube.com/channel/UCtW8ujHaZ9BO4wmAaBVYoKw']]
Союз Юристов+; Псков;+7 (921) 214-85-97;https://sourist.ru/;[[' ok', 'https://ok.ru/tsentrspis'], [' telegram', 'https://t.me/+79212148597'], [' viber', 'https://viber.click/79212148597'], [' vkontakte', 'https://vk.com/souyzuristov'], [' whatsapp', 'https://wa.me/79212148597'], [' youtube', 'https://youtube.com/@user-ye4tp7fi3u']]
Бизнес-Юрист; Волгоград;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юристы и адвокаты; Долгопрудный;+7 (495) 181-61-90;https://юрист-долгопрудный.рф/;[]
Юридическая фирма Обсидиан; Самара;+7 (846) 211-08-11;http://www.obsidianlaw.ru/;[[' telegram', 'https://t.me/obsidian63'], [' viber', 'https://viber.click/78462110811'], [' vkontakte', 'https://vk.com/public197279675'], [' whatsapp', 'https://wa.me/78462110811'], [' youtube', 'https://www.youtube.com/@user-wj7re3ms5q']]
Юридическая компания Законодатель; Евпатория;+7 (978) 013-13-17;https://zakonodatel-evpator.ru/;[[' ok', 'https://ok.ru/ooozakonodatel'], [' telegram', 'https://t.me/79780131317'], [' viber', 'https://viber.click/79780131317'], [' vkontakte', 'https://vk.com/yurist_evpatoriya'], [' whatsapp', 'https://wa.me/79780131317']]
Бизнес-Юрист; Энгельс;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юрист-судебник Смирнова Ю.; Москва;+7 (925) 480-26-46;http://urist-smirnova.ru/;[[' ok', 'https://ok.ru/group/56021358936098'], [' telegram', 'https://t.me/Urist_smirnova'], [' viber', 'https://viber.click/79264462503'], [' whatsapp', 'https://wa.me/79264462503']]
Частный юрист Сергей Спирин; Троицк;+7 (929) 608-64-58;https://sspirin.ru/;[]
Правовая Основа; Казань;+7 (958) 197-79-44;https://likvidation24.ru/;[[' telegram', 'https://t.me/legalbasis_bot'], [' vkontakte', 'https://vk.com/bankrotstvo_rt'], [' whatsapp', 'https://wa.me/79581977944']]
Правовая опора; Липецк;+7 (4742) 56-01-56;;[[' viber', 'https://viber.click/79508039412'], [' whatsapp', 'https://wa.me/79508039412']]
Юридическая компания Давыдов и Партнеры; Москва;+7 (495) 136-50-00;http://www.advokatdavidov.ru/;[[' ok', 'https://ok.ru/advokatdavidov'], [' telegram', 'https://t.me/+7'], [' viber', 'https://viber.click/79629008212'], [' vkontakte', 'https://vk.com/advokatdavidov'], [' whatsapp', 'https://wa.me/79629008212']]
Центр Списания Долгов; Пенза;+7 (993) 399-59-61;https://служба-списания-долгов.рф/;[[' ok', 'https://ok.ru/group/60971035459658'], [' vkontakte', 'https://vk.com/penza_bankrot'], [' whatsapp', 'https://wa.me/79023405990']]
Юрист Гранат М. А.; Тольятти;+7 (917) 125-73-21;http://granatmaxim.ru/;[]
Прозащита; Саранск;+7 (964) 853-08-11;https://cvs-prozashhita.ru/;[[' telegram', 'https://t.me/prozasshita'], [' vkontakte', 'https://vk.com/yuristzpp'], [' whatsapp', 'https://wa.me/9648530811']]
Заря; Чебоксары;+7 (8352) 20-25-94;https://zarya.ru/;[[' ok', 'https://ok.ru/company.Zarya'], [' telegram', 'https://t.me/company_zennit'], [' vkontakte', 'https://vk.com/company.Zarya'], [' youtube', 'https://www.youtube.com/channel/UCyeIt8rxVlwD9Zm6YFMLLUg']]
Скорая юридическая помощь; Самара;+7 (846) 991-10-30;https://9911030.ru/;[[' telegram', 'https://t.me/79022911030'], [' viber', 'https://viber.click/79022911030'], [' vkontakte', 'https://vk.com/skoraya_jur_pomosh'], [' whatsapp', 'https://wa.me/79022911030'], [' youtube', 'https://www.youtube.com/channel/UCKRFMwkCUEYNmu-adrhUBTA/featured?view_as=subscriber']]
Юридический центр Лидер; Воронеж;+7 (473) 220-05-73;https://leadervrn.ru/;[[' ok', 'https://ok.ru/lawyervoronezh'], [' telegram', 'https://t.me/lawyervoronezh'], [' vkontakte', 'https://vk.com/lawyervoronezh'], [' whatsapp', 'https://wa.me/79515586761']]
Статус; Пенза;+7 (900) 319-53-35;https://status-58.ru/;[]
Центр юридических услуг; Балаково;+7 (8453) 68-28-74;http://www.juristlegal.ru/;[[' viber', 'https://viber.click/79272252874'], [' vkontakte', 'https://vk.com/id615590223'], [' whatsapp', 'https://wa.me/79272252874']]
Де-Юре 58; Пенза;+7 (8412) 25-11-00;https://de-jure58.ru/;[[' whatsapp', 'https://wa.me/79273751100']]
Юдвин; Казань;+7 (843) 253-31-32;http://udvin.ru/;[[' telegram', 'https://t.me/udvin5'], [' vkontakte', 'https://vk.com/udvin'], [' whatsapp', 'https://wa.me/79033053132']]
Правовой стимул; Нижний Новгород;+7 (831) 413-88-70;https://ukstimul.ru/;[[' telegram', 'https://t.me/pravovoystimul'], [' vkontakte', 'https://vk.com/p_stimul'], [' whatsapp', 'https://wa.me/79202538870']]
Юридическая компания Щит; Новоуральск;+7 (912) 253-64-45;https://juridicheskaja-kompanija-schit-ulitsa-lenina.clients.site/;[[' telegram', 'https://t.me/79122536445'], [' vkontakte', 'https://vk.com/nvk.help'], [' whatsapp', 'https://wa.me/79122536445']]
Юрист Фадеев А. В.; Нижний Новгород;+7 (920) 070-99-77;https://harant.ru/lawyers/nizhnij-novgorod/fadeev-artem-vladimirovich;[[' telegram', 'https://t.me/unknown777'], [' viber', 'https://viber.click/79200709977'], [' whatsapp', 'https://wa.me/79200709977']]
Поволжский юридический центр; Казань;+7 (843) 203-40-00;https://yurist-kazan.ru/;[[' vkontakte', 'https://vk.com/tatpravo']]
Юрист Сериков Андрей Леонидович; Старый Оскол;+7 (910) 224-44-44;https://serikov.turbo.site/;[[' ok', 'https://ok.ru/andrey.serikov.1'], [' telegram', 'https://t.me/iabarum'], [' viber', 'https://viber.click/89102244444'], [' vkontakte', 'https://vk.com/advocat_online'], [' whatsapp', 'https://wa.me/89102244444'], [' youtube', 'https://www.youtube.com/channel/UCui9O9Z28ZNW5JxQmmEmwMQ']]
Адъюта; Казань;+7 (843) 245-66-11;http://adiuta.ru/;[[' vkontakte', 'https://vk.com/adiuta'], [' whatsapp', 'https://wa.me/89172456730']]
Пенсионный юрист Ануфриев А. П.; 201;+7 (993) 993-70-38;https://urist-anyfriev.ru/uslugi;[[' ok', 'https://ok.ru/profile/89429079482'], [' telegram', 'https://t.me/AnufrievAP'], [' viber', 'https://viber.click/79170349234'], [' vkontakte', 'https://vk.com/id225784189'], [' whatsapp', 'https://wa.me/79170349234']]
Земельный юрист; Москва;+7 (499) 112-42-87;https://zemelniy-urist.ru/;[[' ok', 'https://ok.ru/zemelniyurist'], [' telegram', 'https://t.me/zemelniy_urist_bot'], [' viber', 'https://viber.click/79675557492'], [' vkontakte', 'https://vk.com/zemelniyurist'], [' whatsapp', 'https://wa.me/79675557492'], [' youtube', 'https://www.youtube.com/channel/UC49ZmHE5pXhfQLUR6N_58YQ']]
Цивилист; Москва;+7 (495) 643-99-88;http://civilist.info/;[[' vkontakte', 'https://vk.com/civilist'], [' whatsapp', 'https://wa.me/79163388777'], [' youtube', 'https://www.youtube.com/channel/UCZGd6rvwwv9drUYBf7WZT2g']]
Юридическое бюро А. Гросса; Москва;+7 (495) 115-65-50;https://gross-a.ru/;[[' telegram', 'https://t.me/AlexeyGross'], [' vkontakte', 'https://vk.com/grosslawyers'], [' whatsapp', 'https://wa.me/79852171292'], [' youtube', 'https://www.youtube.com/channel/UCZlK7pPlVlz1kXivca4vIrw']]
Тактик Про; Балашиха;+7 (495) 989-11-01;https://tactic-pro.ru/;[[' ok', 'https://ok.ru/kollegiy'], [' vkontakte', 'https://vk.com/public171740107'], [' whatsapp', 'https://wa.me/79808006043']]
Юрист Шарыгин Сергей Иванович; Тула;+7 (4872) 38-43-27;http://tulaw.ru/;[[' telegram', 'https://t.me/+79807252001'], [' viber', 'https://viber.click/79807252001'], [' whatsapp', 'https://wa.me/79807252001']]
ГорЮрСлужба; Москва;+7 (903) 150-43-49;https://goryur.ru/;[[' telegram', 'https://t.me/79032800284'], [' viber', 'https://viber.click/79032800284'], [' whatsapp', 'https://wa.me/79032800284']]
Правовой центр; Подольск;+7 (495) 928-14-38;https://mos-zakon.ru/;[[' whatsapp', 'https://wa.me/79859281438']]
Белый маркер; Мичуринск;+7 (4752) 42-24-33;https://netdolgam.whitemarker.ru/;[[' ok', 'https://ok.ru/whitemarker'], [' telegram', 'https://t.me/+79276818000'], [' vkontakte', 'https://vk.com/whitemarker'], [' whatsapp', 'https://wa.me/74752422433'], [' youtube', 'https://www.youtube.com/@beliymarker']]
БанкротСервис; Саранск;+7 (917) 068-43-30;https://superbankrot.ru/;[[' ok', 'https://ok.ru/profile/585997055137'], [' telegram', 'https://t.me/79022306060'], [' viber', 'https://viber.click/79022306060'], [' vkontakte', 'https://vk.com/superbankrot'], [' whatsapp', 'https://wa.me/79022306060']]
Центр правовой помощи и судебной защиты; Москва;8 (800) 444-76-40;https://www.pravo.ltd/;[[' viber', 'https://viber.click/79859228326'], [' whatsapp', 'https://wa.me/79859228326'], [' youtube', 'https://www.youtube.com/channel/UCX0KDs3DvmkirhlvHmjrNwQ']]
Глинка, Бессонов и Партнёры; Москва;+7 (495) 414-18-83;https://pravoforyou.ru/;[[' ok', 'https://ok.ru/group/54419311886496'], [' telegram', 'https://t.me/BessonovPartners'], [' vkontakte', 'https://vk.com/pravoforyou'], [' whatsapp', 'https://wa.me/74956499115']]
Ольга Степанова и партнеры; Брянск;+7 (900) 361-69-99;http://банкротствобрянск.рф/;[[' ok', 'https://ok.ru/group54985219178740'], [' telegram', 'https://t.me/79003616999'], [' viber', 'https://viber.click/79003616999'], [' vkontakte', 'https://vk.com/olgastepanova_pro'], [' whatsapp', 'https://wa.me/79003616999'], [' youtube', 'https://www.youtube.com/@StepanovaO']]
Юридические услуги; Москва;+7 (499) 390-19-09;http://www.moscow-lawyers.ru/;[[' telegram', 'https://t.me/moslawyers'], [' vkontakte', 'https://vk.com/club149173189'], [' youtube', 'https://www.youtube.com/channel/UCC6lQambsN3uIdIEJATuNiA']]
Юридические услуги; рабочий посёлок Нахабино;+7 (926) 948-34-66;http://lawyer-moscowa.ru/;[[' ok', 'https://ok.ru/profile/105479107557'], [' viber', 'https://viber.click/79269483466'], [' whatsapp', 'https://wa.me/79269483466']]
Юридические услуги; Тула;+7 (902) 845-57-75;http://юристтула.рф/;[]
Региональный центр юридических услуг, комитет юристов; Красногорск;+7 (985) 927-66-77 (доб. 8 985 927 66 77);http://www.komitet-uristov.ru/;[[' viber', 'https://viber.click/79859276677'], [' vkontakte', 'https://vk.com/public200185130']]
Юридические услуги; Волгоград;+7 (961) 082-28-21;http://advokaton-line.ru/;[[' telegram', 'https://t.me/advokat_Dmitrii'], [' viber', 'https://viber.click/79610822821'], [' vkontakte', 'https://vk.com/advokatonline34?from=groups'], [' whatsapp', 'https://wa.me/79610822821']]
Межрегиональный правовой центр; Саратов;+7 (8452) 91-71-91;https://mpcsar.ru/;[[' vkontakte', 'https://vk.com/mpcsar']]
Воронежский центр права; Воронеж;+7 (993) 399-59-63;http://www.vcp36.ru/;[[' whatsapp', 'https://wa.me/79525529509']]
Юридическая помощь; Самара;+7 (846) 244-25-77;https://pravosud63.ru/;[[' viber', 'https://viber.click/79053000927'], [' whatsapp', 'https://wa.me/79053000927']]
Партнер; Ярославль;8 (800) 700-03-04;https://partner24.ru/;[[' vkontakte', 'https://vk.com/partner24ru']]
Юридические услуги Юцвд Юридический центр; Златоуст;8 (800) 201-31-45;http://zlat.cvdbankrotstvo.ru/;[[' youtube', 'http://youtube.com/channel/UC7tprbdoaHZ5pxHlGI7oEqQ'], [' ok', 'https://ok.ru/ucvd74'], [' viber', 'https://viber.click/79227114000'], [' vkontakte', 'https://vk.com/cvd74'], [' whatsapp', 'https://wa.me/79227114000']]
Бизнес-Гарант; Самара;+7 (846) 212-50-90;https://kol.bg63.ru/bankrotstvo/bankrotstvo-fizicheskix-licz/;[[' telegram', 'https://t.me/9277013156'], [' viber', 'https://viber.click/9277013156'], [' vkontakte', 'https://vk.com/bizness_garant'], [' whatsapp', 'https://wa.me/9277013156']]
Партнер; Казань;+7 (843) 253-48-19;https://partner24.ru/;[[' vkontakte', 'https://vk.com/partner24ru']]
Балов и партнеры; Ярославль;;http://balovzakon.com/;[[' telegram', 'https://t.me/baloff_bot'], [' vkontakte', 'https://vk.com/balovzakon']]
Юридическая консультация Де-Юре; Богородск;+7 (987) 747-68-33;http://de-jure-bg.ru/;[[' ok', 'https://ok.ru/profile/585787657957'], [' telegram', 'https://t.me/+79877476833'], [' viber', 'https://viber.click/79877476833'], [' vkontakte', 'https://vk.com/de.yure'], [' whatsapp', 'https://wa.me/79877476833']]
Адвокатский кабинет Жбанковой З. А.; Воронеж;+7 (473) 240-87-07;http://адвокат-жбанкова.рф/;[[' vkontakte', 'https://vk.com/public124994621'], [' whatsapp', 'https://wa.me/79611090669']]
Арешев и Партнеры; Москва;+7 (495) 476-54-07;https://areshev.ru/uvao;[[' whatsapp', 'https://wa.me/74956649612']]
Мытищинская юридическая компания; Мытищи;+7 (925) 505-45-17;http://www.myt-yurist.ru/;[[' vkontakte', 'https://vk.com/mytyurist'], [' youtube', 'https://www.youtube.com/channel/UCmDun_1h-C5Y4SVVFwFL8jw']]
Правовой город; Воронеж;+7 (900) 302-45-14;http://pravgor.ru/;[[' vkontakte', 'https://vk.com/pravovoygorod'], [' whatsapp', 'https://wa.me/79003024514']]
Юркомпани; Самара;+7 (962) 603-30-11;https://нетдолгов63.рф/;[[' telegram', 'https://t.me/LegalSMR']]
Старт; Москва;8 (800) 333-22-79;https://urstart.ru/;[[' vkontakte', 'https://vk.com/urstart'], [' youtube', 'https://www.youtube.com/channel/UCaFzcctTppNurXR2PRd1lYw']]
Двитекс; Москва;+7 (495) 223-48-91;http://www.dvitex.ru/;[]
Шпарвассер и партнёры; Москва;+7 (910) 456-84-52;http://shparwasser.ru/;[[' telegram', 'https://t.me/+79104568452'], [' viber', 'https://viber.click/79104568452'], [' whatsapp', 'https://wa.me/79104568452'], [' youtube', 'https://www.youtube.com/user/01advokat']]
ДаБанкрот; Белгород;8 (800) 222-20-15;https://дабанкрот.рф/белгород/?utm_medium=belg_card&utm_source=yandex;[[' ok', 'https://ok.ru/zhiznbezdo'], [' telegram', 'https://t.me/Dabankrotbot'], [' vkontakte', 'https://vk.com/da_bankrot'], [' whatsapp', 'https://wa.me/79300902015'], [' youtube', 'https://www.youtube.com/@da_bankrot']]
Правовая защита заемщиков; Чебоксары;8 (800) 444-30-21;https://moepravo.org/;[[' ok', 'https://ok.ru/moe.pravo'], [' telegram', 'https://t.me/moepravo_cheb21'], [' viber', 'https://viber.click/79373841484'], [' vkontakte', 'https://vk.com/moepravo_cheb'], [' whatsapp', 'https://wa.me/79373841484'], [' youtube', 'https://www.youtube.com/@moe_pravo']]
Право61; Ростов-на-Дону;+7 (863) 322-60-47;http://pravo61.ru/;[[' ok', 'http://www.odnoklassniki.ru/pravo61'], [' youtube', 'http://youtube.com/@Pravo61'], [' telegram', 'https://t.me/Pravo61'], [' vkontakte', 'https://vk.com/pravo61'], [' whatsapp', 'https://wa.me/79185551661']]
Правовая помощь; корп. 2;+7 (931) 237-15-22;http://помощьправовая.рф/;[[' telegram', 'https://t.me/Lawyer_Zimareva'], [' viber', 'https://viber.click/89312371522'], [' vkontakte', 'https://vk.com/yourist_spb'], [' whatsapp', 'https://wa.me/89312371522']]
Юрист Бесплатно; Великий Новгород;+7 (963) 331-00-31;https://vk.link/lawyersolvit;[[' vkontakte', 'https://vk.com/lawyersolvit'], [' whatsapp', 'https://wa.me/79633310031']]
Государственное юридическое бюро Пензенской области; Пенза;+7 (8412) 92-70-00;http://gosjurbyuro58.ru/;[]
Центр юридической помощи; рабочий посёлок Малаховка;+7 (926) 499-10-15;;[[' vkontakte', 'https://vk.com/uristzakon']]
Арта; Москва;+7 (499) 938-89-92;https://advokat-arta.ru/;[[' youtube', 'http://youtube.com/channel/UCEVWl_QGGu9lK-Y0QEojpaQ'], [' ok', 'https://ok.ru/group/70000003533596'], [' telegram', 'https://t.me/Arta_Yurist_Bot'], [' vkontakte', 'https://vk.com/artayuristy']]
Аргументъ; Саратов;+7 (8452) 23-44-11;http://pravo-rus.com/;[[' youtube', 'http://youtube.com/channel/UCEdlVOhQ6aVqbWueUGpONtw'], [' vkontakte', 'https://vk.com/andr_larin']]
Юрист Дн; Москва;+7 (977) 829-06-74;https://www.uristdn.ru/;[[' whatsapp', 'https://wa.me/79778290674']]
Центр юридической помощи; Домодедово;+7 (495) 664-54-53;https://юристы-домодедово.рф/;[[' vkontakte', 'https://vk.com/urdomodedovo']]
Династия Юристов; Москва;+7 (495) 772-80-14;http://www.dinurist.ru/;[[' whatsapp', 'https://wa.me/79197846190']]
Центр юридической помощи населению; Сарапул;+7 (922) 522-17-46;https://sarapul.centryr.ru/?utm_campaign=sarapul&utm_content=site&utm_medium=cpm&utm_source=yandex.maps;[[' viber', 'https://viber.click/89225239616'], [' vkontakte', 'https://vk.com/finanszachita'], [' whatsapp', 'https://wa.me/89225239616']]
ЮрКонсалт; Саратов;+7 (993) 399-48-60;https://uristdoc.ru/;[[' telegram', 'https://t.me/+79873304079'], [' vkontakte', 'https://vk.com/uristdoc'], [' whatsapp', 'https://wa.me/79873304079']]
Центр Защиты Прав Приволжский; Нижний Новгород;+7 (831) 414-99-11;https://знай-свои-права.рф/;[[' telegram', 'https://t.me/89036029911'], [' viber', 'https://viber.click/89036029911'], [' vkontakte', 'https://vk.com/public205276256'], [' whatsapp', 'https://wa.me/89036029911']]
Юрист Минеев Е. Р.; Набережные Челны;+7 (904) 660-69-99;https://mineev.pro/;[[' vkontakte', 'https://vk.com/zashitaprav']]
Бизнес-Юрист; Ульяновск;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Свои люди; Тверь;+7 (920) 680-29-03;https://svoiluditn.ru/;[[' telegram', 'https://t.me/yurist_svoi_lyudi'], [' vkontakte', 'https://vk.com/svoilyuditv'], [' whatsapp', 'https://wa.me/79206802903']]
Бизнес-Юрист; Брянск;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Правовой центр Защита; Тула;+7 (960) 611-52-77;;[[' ok', 'https://ok.ru/pravovoy'], [' telegram', 'https://t.me/pkutovoy'], [' viber', 'https://viber.click/79606115277'], [' vkontakte', 'https://vk.com/pravotula'], [' whatsapp', 'https://wa.me/79606115277']]
Деловой союз; Тула;+7 (4872) 28-58-00;https://www.250028.ru/;[[' viber', 'https://viber.click/79539600076'], [' vkontakte', 'https://vk.com/professionalnyeuristy'], [' whatsapp', 'https://wa.me/79539600076']]
Бизнес-Юрист; Тамбов;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юрист Гарант; Самара;+7 (846) 359-10-48;http://uristgarant63.ru/;[[' viber', 'https://viber.click/79371770170'], [' whatsapp', 'https://wa.me/79371770170']]
Юридическая компания Стратегия; Щёлково;+7 (925) 055-82-55;;[[' viber', 'https://viber.click/79057943850'], [' vkontakte', 'https://vk.com/id392540426'], [' whatsapp', 'https://wa.me/79250558255']]
Бизнес-юрист; Астрахань;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Экспресс Регистратор; Москва;+7 (495) 414-27-27;https://www.reg-express.ru/;[[' vkontakte', 'https://vk.com/club94039374'], [' youtube', 'https://www.youtube.com/expressreg']]
Финон; Москва;+7 (499) 681-62-25;http://finon127.ru/;[[' telegram', 'https://t.me/finon127'], [' vkontakte', 'https://vk.com/finon127'], [' whatsapp', 'https://wa.me/79017699967']]
Выход есть; Тула;+7 (4872) 71-75-92;https://vihod-est.ru/;[[' vkontakte', 'http://vk.com/bankrotstvo71'], [' youtube', 'https://www.youtube.com/channel/UCatSYDPMVkiZJTCvR7slC8A']]
Юридическое бюро А. Гросса; Москва;+7 (495) 115-65-50;https://gross-a.ru/;[[' telegram', 'https://t.me/AlexeyGross'], [' vkontakte', 'https://vk.com/grosslawyers'], [' whatsapp', 'https://wa.me/79852171292'], [' youtube', 'https://www.youtube.com/channel/UCZlK7pPlVlz1kXivca4vIrw']]
Тактик Про; Балашиха;+7 (495) 989-11-01;https://tactic-pro.ru/;[[' ok', 'https://ok.ru/kollegiy'], [' vkontakte', 'https://vk.com/public171740107'], [' whatsapp', 'https://wa.me/79808006043']]
Юрист Шарыгин Сергей Иванович; Тула;+7 (4872) 38-43-27;http://tulaw.ru/;[[' telegram', 'https://t.me/+79807252001'], [' viber', 'https://viber.click/79807252001'], [' whatsapp', 'https://wa.me/79807252001']]
